,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,28, No, Yes, No,0.0,s," Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The mouse attempted to reach the drop with its paw but did not successfully retrieve or drink any of the water.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The mouse attempted to reach the drop with its paw but did not successfully retrieve or drink any of the water.  
6. 0:00 - 1:15: The water drop is visible on the spout, and the mouse remains stationary with both paws on the surface.  
1:16 - 1:20: The mouse lifts its right paw and moves it toward the water drop.  
1:21 - 1:25: The mouse's right paw touches the water drop, causing it to detach and roll onto the paw.  
1:26 - 1:30: The mouse brings its paw close to its mouth but does not lick the water.  
1:31 - 4:45: The mouse continues to hold the water drop on its paw but does not consume it. The water remains on the paw, and no licking occurs.  
7. 95%", 95%
1,1,25, No, Yes, No,0.0,s," Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The water drop remained attached to the spout, and the mouse's paw did not successfully retrieve it. There is no evidence of any water being ingested.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop using its tongue, and no water was consumed. The water drop remained attached to the spout, and the mouse's paw did not successfully retrieve it. There is no evidence of any water being ingested.  
6. 0:00 - 1:40: The water drop is visible on the spout, and the mouse remains stationary with its paws on the surface.  
1:41 - 2:00: The mouse lifts its right paw and moves it toward the water drop.  
2:01 - 2:10: The mouse's paw touches the water drop, but the drop remains attached to the spout.  
2:11 - 2:30: The mouse attempts to bring the water drop closer to its mouth but fails to detach it.  
2:31 - 4:45: The mouse continues to attempt to retrieve the water drop with its paw but does not succeed. The water drop remains on the spout.  
7. 95%", 95%
2,2,27, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.  
6. 0:00 - 1:20: The water drop forms and remains attached to the spout.  
1:21 - 1:25: The mouse lifts its right paw toward the spout.  
1:26 - 1:30: The mouse's paw touches the water drop, but the drop does not detach.  
1:31 - 1:40: The mouse retracts its paw without retrieving any water.  
1:41 - 4:45: The mouse repeatedly attempts to reach the drop but fails to retrieve it.  
7. 95%", 95%
3,3,32, No, Yes, No,0.0,s," Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout, and the mouse did not successfully retrieve it.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse did not make physical contact with the water drop, and no water was consumed. The water drop remained on the spout, and the mouse did not successfully retrieve it.  
6. 0:00 - 0:55: The mouse is positioned in front of the spout, with its paws resting on the platform.  
0:56 - 1:00: A water drop forms and remains attached to the spout.  
1:01 - 2:30: The mouse remains stationary, with no movement of the paws or tongue toward the water drop.  
2:31 - 2:45: The mouse lifts its right paw slightly but does not reach the water drop.  
2:46 - 4:45: The mouse returns its paw to the platform and remains still, with no further attempts to retrieve the water drop.  
7. 95%", 95%
4,4,18, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, nor did it retrieve any of the water. The water drop remained attached to the spout until the end of the video, and the mouse's tongue did not touch it. The mouse's right paw moved toward the spout but did not make contact with the water drop, and no water was transferred to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, nor did it retrieve any of the water. The water drop remained attached to the spout until the end of the video, and the mouse's tongue did not touch it. The mouse's right paw moved toward the spout but did not make contact with the water drop, and no water was transferred to the mouth.  
6. 0:00 - 1:25: The mouse is stationary, with its paws resting on the surface. The water drop is visible on the spout.  
1:26 - 1:30: The mouse's right paw lifts and moves toward the spout, but does not touch the water drop.  
1:31 - 1:35: The mouse's right paw touches the water drop, but the drop remains attached to the spout.  
1:36 - 4:45: The mouse's right paw remains near the spout, but the water drop does not detach or move. The mouse's tongue does not make contact with the water drop.  
7. 95%", 95%
5,5,33, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no evidence of any water being consumed.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth. There is no evidence of any water being consumed.  
6. 0:00 - 1:20: The mouse remains stationary with both paws on the surface, and the water drop is visible on the spout.  
1:21 - 1:30: The mouse lifts its right paw and moves it toward the spout.  
1:31 - 1:40: The right paw touches the water drop, but the drop does not detach or move toward the mouth.  
1:41 - 2:00: The mouse retracts its paw without bringing the water to its mouth.  
2:01 - 4:45: The mouse remains in place, with no further interaction with the water drop.  
7. 95%", 95%
6,6,61, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was transferred to its mouth. The tongue did not touch the drop, and the paw did not bring the drop close enough for consumption.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was transferred to its mouth. The tongue did not touch the drop, and the paw did not bring the drop close enough for consumption.  
6. 0:00 - 1:30: The mouse remains stationary with both paws on the surface.  
1:30 - 1:40: The mouse lifts its right paw and moves it toward the spout.  
1:40 - 1:50: The right paw touches the water drop, but the drop does not detach.  
1:50 - 2:00: The mouse retracts its paw without retrieving the water.  
2:00 - 4:45: The mouse repeatedly attempts to reach the water drop with its right paw, but the drop remains attached to the spout.  
4:45 - 4:50: The mouse lifts its right paw again, but the water drop remains on the spout.  
4:50 - 4:55: The mouse attempts to lick the spout, but the tongue does not make contact with the water drop.  
4:55 - 4:58: The mouse retracts its paw and remains stationary.  
7. 95%", 95%
7,7,66,,,,,s,,"1. No  
2. Yes  
3. Yes  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paws did not successfully retrieve the water. The water drop remained attached to the spout throughout the trial, and no evidence of consumption or retrieval was observed.  
6. 0:00 - 2:00: The mouse remains stationary with its paws on the surface, and the water drop is visible on the spout.  
2:01 - 2:10: The mouse lifts its right paw toward the spout but does not touch the water drop.  
2:11 - 2:20: The mouse brings its paws together in front of its face but does not make contact with the water drop.  
2:21 - 2:30: The mouse continues to move its paws but does not retrieve the water drop.  
2:31 - 2:40: The mouse lifts its right paw again, but the water drop remains on the spout.  
2:41 - 2:50: The mouse brings its paws together again, but no contact with the water drop is made.  
2:51 - 3:00: The mouse continues to move its paws but does not retrieve the water drop.  
3:01 - 3:10: The mouse lifts its right paw again, but the water drop remains on the spout.  
3:11 - 3:20: The mouse brings its paws together again, but no contact with the water drop is made.  
3:21 - 3:30: The mouse continues to move its paws but does not retrieve the water drop.  
3:31 - 3:40: The mouse lifts its right paw again, but the water drop remains on the spout.  
3:41 - 3:50: The mouse brings its paws together again, but no contact with the water drop is made.  
3:51 - 4:00: The mouse continues to move its paws but does not retrieve the water drop.  
4:01 - 4:10: The mouse lifts its right paw again, but the water drop remains on the spout.  
4:11 - 4:20: The mouse brings its paws together again, but no contact with the water drop is made.  
4:21 - 4:30: The mouse continues to move its paws but does not retrieve the water drop.  
4:31 - 4:40: The mouse lifts its right paw again, but the water drop remains on the spout.  
4:41 - 4:50: The mouse brings its paws together again, but no contact with the water drop is made.  
4:51 - 5:00: The mouse continues to move its paws but does not retrieve the water drop.  
5:01 - 5:10: The mouse lifts its right paw again, but the water drop remains on the spout.  
5:11 - 5:20: The mouse brings its paws together again, but no contact with the water drop is made.  
5:21 - 5:30: The mouse continues to move its paws but does not retrieve the water drop.  
5:31 - 5:40: The mouse lifts its right paw again, but the water drop remains on the spout.  
5:41 - 5:50: The mouse brings its paws together again, but no contact with the water drop is made.  
5:51 - 6:00: The mouse continues to move its paws but does not retrieve the water drop.  
6:01 - 6:10: The mouse lifts its right paw again, but the water drop remains on the spout.  
6:11 - 6:20: The mouse brings its paws together again, but no contact with the water drop is made.  
6:21 - 6:30: The mouse continues to move its paws but does not retrieve the water drop.  
6:31 - 6:40: The mouse lifts its right paw again, but the water drop remains on the spout.  
6:41 - 6:50: The mouse brings its paws together again, but no contact with the water drop is made.  
6:51 - 7:00: The mouse continues to move its paws but does not retrieve the water drop.  
7:01 - 7:10",
8,8,22, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paw did not bring the drop to the mouth.  
6. 0:00 - 1:00: The mouse is stationary, with both paws on the surface.  
1:00 - 1:10: A water drop forms and remains on the spout.  
1:10 - 1:20: The mouse lifts its right paw and moves it toward the spout.  
1:20 - 1:30: The right paw touches the water drop, but the drop does not detach.  
1:30 - 1:40: The mouse retracts its paw without retrieving the water.  
1:40 - 2:00: The mouse remains stationary, with no further interaction with the water drop.  
7. 95%", 95%
9,9,59,,,,,f,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was consumed. The tongue did not touch the drop, and the paw did not reach the spout to retrieve the water. The water drop remained attached to the spout throughout the trial, and no evidence of consumption or retrieval was observed.  
6. 0:00 - 0:50: The mouse is stationary, with both paws resting on the platform. The water drop is visible on the spout, attached and undisturbed.  
0:50 - 1:00: The water drop remains attached to the spout. The mouse remains still, with no paw or tongue movement toward the drop.  
1:00 - 1:10: The mouse lifts its right paw slightly but does not reach the spout or the water drop.  
1:10 - 1:20: The mouse extends its right paw toward the spout but does not make contact with the water drop.  
1:20 - 1:30: The mouse retracts its paw without touching the water drop.  
1:30 - 1:40: The mouse remains still, with no further attempts to reach the water drop.  
1:40 - 2:00: The water drop remains attached to the spout. The mouse does not make any further movements toward the drop.  
2:00 - 2:20: The mouse remains stationary, with no interaction with the water drop.  
2:20 - 2:40: The mouse continues to remain still, with no paw or tongue movement toward the water drop.  
2:40 - 3:00: The water drop remains attached to the spout. The mouse does not attempt to retrieve it.  
3:00 - 3:20: The mouse remains stationary, with no interaction with the water drop.  
3:20 - 3:40: The water drop remains attached to the spout. The mouse does not make any further movements.  
3:40 - 4:00: The mouse remains still, with no paw or tongue movement toward the water drop.  
4:00 - 4:20: The water drop remains attached to the spout. The mouse does not attempt to retrieve it.  
4:20 - 4:40: The mouse remains stationary, with no interaction with the water drop.  
4:40 - 5:00: The water drop remains attached to the spout. The mouse does not make any further movements.  
5:00 - 5:20: The mouse remains still, with no paw or tongue movement toward the water drop.  
5:20 - 5:40: The water drop remains attached to the spout. The mouse does not attempt to retrieve it.  
5:40 - 6:00: The mouse remains stationary, with no interaction with the water drop.  
6:00 - 6:20: The water drop remains attached to the spout. The mouse does not make any further movements.  
6:20 - 6:40: The mouse remains still, with no paw or tongue movement toward the water drop.  
6:40 - 7:00: The water drop remains attached to the spout. The mouse does not attempt to retrieve it.  
7:00 - 7:20: The mouse remains stationary, with no interaction with the water drop.  
7:20 - 7:40: The water drop remains attached to the spout. The mouse does not make any further movements.  
7:40 - 8:00: The mouse remains still, with no paw or tongue movement toward the water drop.  
8:00 - 8:20: The water drop remains attached to the spout. The mouse does not attempt to retrieve it.  
8:20 - 8:40: The mouse remains stationary, with no interaction with the water drop.  
8:40 - 9:00: The water drop remains attached to the spout. The mouse does not make any further movements.  
9:00 - 9:20: The mouse remains still, with no paw or tongue movement toward the water drop.  
9:20 - 9:40: The water drop remains attached to the spout. The mouse does not attempt to retrieve it.  
9:40 - 10:00: The mouse remains stationary, with no interaction with the water drop.  
10:00 - 10:20: The water drop remains attached to the sp",
