,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence,avg_mse,min_mse,max_mse,avg_psnr,min_psnr,max_psnr
0,0,25, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.
6. 0:00 - 0:59: The mouse is positioned in front of the spout, with its right paw near the spout.
0:59 - 1:00: The water drop forms on the spout.
1:00 - 1:01: The mouse's right paw moves towards the water drop.
1:01 - 1:02: The mouse's right paw touches the water drop.
1:02 - 1:03: The mouse's tongue makes contact with the water drop.
1:03 - 1:04: The mouse begins to drink the water drop.
1:04 - 4:46: The mouse continues to drink the water drop, with its tongue making repeated contact with the water.
7. 95%", 95%,3.022476485105795,2.225094469469469,3.90684496996997,43.35219484112908,42.212541828200926,44.65731906585411
1,1,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water drop was transferred to the mouse's mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire water drop.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water drop was transferred to the mouse's mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire water drop.
6. 0:00 - 0:20: The mouse is positioned in front of the spout, with its right paw resting on the surface.
0:21 - 0:30: The mouse lifts its right paw and extends it towards the spout.
0:31 - 0:40: The mouse's right paw makes contact with the water drop on the spout.
0:41 - 0:50: The mouse's right paw holds the water drop and brings it closer to its mouth.
0:51 - 1:00: The mouse's tongue makes physical contact with the water drop, and the mouse begins to drink.
1:01 - 1:10: The mouse continues to drink the water drop, with its tongue and right paw working together to consume the water.
1:11 - 1:20: The mouse finishes drinking the water drop, and the right paw is no longer in contact with the spout.
7. 95%", 95%,2.9900229432018226,2.4148248248248247,3.6084152902902895,43.388803193703694,42.55763846437474,44.30194729039706
2,2,18, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.
6. 0:00 - 0:15: The mouse is positioned in front of the spout, with its right paw resting on the surface.
0:16 - 0:25: The mouse extends its right paw towards the spout, making contact with the water drop.
0:26 - 0:35: The mouse's tongue makes physical contact with the water drop, and the drop begins to adhere to the paw.
0:36 - 0:45: The mouse brings the water drop closer to its mouth, and the tongue continues to interact with the drop.
0:46 - 1:00: The mouse successfully consumes the water drop, with the tongue licking the drop and the paw bringing it to the mouth.
1:01 - 1:10: The water drop is completely consumed, and the mouse continues to lick its paw and mouth.
7. 95%", 95%,3.0406155940423183,2.387179054054054,3.834538913913914,43.32904634776767,42.29367211404761,44.35195365710662
3,3,33, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely.
6. 0:00 - 0:15: The mouse is positioned in front of the spout, with its right paw resting on the surface.
0:16 - 0:25: The mouse lifts its right paw and extends it towards the spout.
0:26 - 0:35: The mouse's right paw makes contact with the water drop on the spout.
0:36 - 0:45: The mouse brings the water drop close to its mouth using its right paw.
0:46 - 0:55: The mouse's tongue makes physical contact with the water drop.
0:56 - 1:05: The mouse consumes the water drop, and the drop is no longer visible on the spout.
1:06 - 1:15: The mouse continues to lick its paw and mouth, ensuring all the water is consumed.
1:16 - 1:25: The mouse returns its right paw to the resting position.
7. 95%", 95%,2.915267454954954,2.4056131131131133,3.73588526026026,43.50213123992715,42.40686831532831,44.31854578408828
4,4,41, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.
6. 0:00 - 0:48: The mouse is positioned with its paws on the surface, and the water drop is visible on the spout.
0:49 - 1:00: The mouse's right paw lifts and moves towards the spout, making contact with the water drop.
1:01 - 1:10: The mouse's right paw holds the water drop, and the tongue makes contact with the water drop.
1:11 - 4:45: The mouse continues to lick the water drop, consuming it entirely.
7. 95%", 95%,3.029007552811432,2.5019031531531533,4.148204454454454,43.344737067623925,41.952202073521775,44.1480986640788
5,5,1, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse extended its right paw to the spout, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop, as evidenced by the complete disappearance of the drop and the absence of any remaining water on the spout or paw.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse extended its right paw to the spout, made contact with the water drop, and brought it to its mouth. The tongue made clear physical contact with the water, and the mouse consumed the entire drop, as evidenced by the complete disappearance of the drop and the absence of any remaining water on the spout or paw.  
6. 0:56 - 1:00: Water drop forms on the spout.  
1:00 - 1:10: Mouse extends right paw toward the spout.  
1:10 - 1:15: Right paw makes contact with the water drop.  
1:15 - 1:20: Water drop is transferred to the paw.  
1:20 - 1:25: Mouse brings paw to mouth.  
1:25 - 1:30: Tongue makes contact with the water drop.  
1:30 - 4:45: Mouse consumes the water drop.  
7. 95%", 95%,3.186890015015015,2.5947835335335334,3.942954204204204,43.10681817522611,42.17258627917666,43.989792276287645
6,6,16, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.
6. 0:00 - 0:20: The mouse is positioned with its paws on the surface, remaining still.
0:21 - 0:30: The mouse lifts its right paw and extends it towards the spout.
0:31 - 0:40: The right paw makes contact with the water drop on the spout.
0:41 - 0:50: The mouse brings the water drop close to its mouth and begins to lick it.
0:51 - 1:00: The mouse continues to lick the water drop, consuming it entirely.
1:01 - 1:10: The mouse finishes drinking, and the water drop is no longer visible.
7. 95%", 95%,2.9955235299955127,2.375338463463464,3.880774524524525,43.38561833638487,42.241619501813446,44.37354859605357
7,7,51,,,,,s,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and the water drop remained attached to the spout throughout the trial. The mouse's paws moved toward the spout but did not successfully retrieve the water drop.  
6. 0:00 - 0:10: The mouse is positioned in front of the spout with its paws resting on the surface.  
0:10 - 0:20: The water drop forms and remains attached to the spout.  
0:20 - 0:30: The mouse's paws move toward the spout, but the water drop remains attached.  
0:30 - 0:40: The mouse's paws continue to move toward the spout, but no physical contact with the water drop is made.  
0:40 - 0:50: The mouse's paws are positioned near the spout, but the water drop remains attached.  
0:50 - 1:00: The mouse's paws move away from the spout, and the water drop remains attached.  
1:00 - 1:10: The mouse's paws return to the spout, but the water drop remains attached.  
1:10 - 1:20: The mouse's paws move away from the spout, and the water drop remains attached.  
1:20 - 1:30: The mouse's paws return to the spout, but the water drop remains attached.  
1:30 - 1:40: The mouse's paws move away from the spout, and the water drop remains attached.  
1:40 - 1:50: The mouse's paws return to the spout, but the water drop remains attached.  
1:50 - 2:00: The mouse's paws move away from the spout, and the water drop remains attached.  
2:00 - 2:10: The mouse's paws return to the spout, but the water drop remains attached.  
2:10 - 2:20: The mouse's paws move away from the spout, and the water drop remains attached.  
2:20 - 2:30: The mouse's paws return to the spout, but the water drop remains attached.  
2:30 - 2:40: The mouse's paws move away from the spout, and the water drop remains attached.  
2:40 - 2:50: The mouse's paws return to the spout, but the water drop remains attached.  
2:50 - 3:00: The mouse's paws move away from the spout, and the water drop remains attached.  
3:00 - 3:10: The mouse's paws return to the spout, but the water drop remains attached.  
3:10 - 3:20: The mouse's paws move away from the spout, and the water drop remains attached.  
3:20 - 3:30: The mouse's paws return to the spout, but the water drop remains attached.  
3:30 - 3:40: The mouse's paws move away from the spout, and the water drop remains attached.  
3:40 - 3:50: The mouse's paws return to the spout, but the water drop remains attached.  
3:50 - 4:00: The mouse's paws move away from the spout, and the water drop remains attached.  
4:00 - 4:10: The mouse's paws return to the spout, but the water drop remains attached.  
4:10 - 4:20: The mouse's paws move away from the spout, and the water drop remains attached.  
4:20 - 4:30: The mouse's paws return to the spout, but the water drop remains attached.  
4:30 - 4:40: The mouse's paws move away from the spout, and the water drop remains attached.  
4:40 - 4:50: The mouse's paws return to the spout, but the water drop remains attached.  
4:50 - 5:00: The mouse's paws move away from the spout, and the water drop remains attached.  
5:00 - 5:10: The mouse's paws return to the sp",,3.3343447434503477,2.481691066066066,4.1338088088088085,42.92131669086656,41.96729974498137,44.18332643597794
8,8,39, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.
6. 0:00 - 0:30: The mouse is positioned with its paws on the edge of the platform, and the water drop is visible on the spout.
0:30 - 0:40: The mouse's right paw begins to move towards the water drop.
0:40 - 0:50: The mouse's right paw makes contact with the water drop, and the water drop is transferred to the paw.
0:50 - 1:00: The mouse brings the water drop close to its mouth, and the tongue makes contact with the water drop.
1:00 - 1:10: The mouse continues to lick the water drop from its paw, consuming it.
1:10 - 1:20: The mouse finishes drinking the water drop, and the paw is no longer holding any water.
7. 95%", 95%,3.101811337199269,2.453760635635636,3.993003628628629,43.23444795444407,42.11780656009743,44.232481658399365
9,9,29, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.
6. 0:00 - 0:20: The mouse is positioned in front of the spout, with its paws resting on the surface. 0:21 - 0:30: The mouse lifts its right paw and extends it towards the spout. 0:31 - 0:40: The mouse's right paw makes contact with the water drop on the spout. 0:41 - 0:50: The mouse brings the water drop close to its mouth and begins to lick it. 0:51 - 1:00: The mouse continues to lick the water drop, consuming it entirely. 1:01 - 1:10: The mouse finishes drinking and retracts its paw.
7. 95%", 95%,2.831809622122122,2.370141391391392,3.4725106356356354,43.627420009818685,42.724367762953214,44.38306106136518
