Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 78.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 78.9 - 179.2seconds, The mouse then grabs a water droplet and begins to drink. 179.2 - 286.2seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,25, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 17.8 - 111.2seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 111.2 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
2,27, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 17.8 - 113.4seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 113.4 - 286.1seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,32, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.7: The mouse is head-fixed and can't move its head. 29.3 - 286.0: The mouse uses its right paw to grab the water drop and drink it.
7. I am 100% confident in my results.", I am 100% confident in my results.
4,18,,,,,ucn,,,
5,33, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 17.6 - 111.6seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 108.2 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,22, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in a cage and looking off into the distance. 27.2 - 162.2seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 157.3 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,4, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.7 seconds, The mouse is seen sitting in front of a spout with water dripping down. 19.3 - 286.7 seconds, The mouse then uses his tongue to lick the water off and drink it. 
7. 100%", 100%
8,41,,,,,ucn,,,
9,1, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.8 - 117.7seconds, The mouse then grabs a piece of food and begins eating it. 117.7 - 286.1seconds, The mouse continues to eat while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
