,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,0,0,25, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 101.2seconds, The mouse then grabs the drop with his mouth and drinks it. 101.2 - 286.4seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,1,1,1,32, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 19.8: The mouse is head-fixed and a water drop is delivered to the spout. 20.4 - 27.2: The mouse lifts its paw and touches the water drop. 27.8 - 286.6: The mouse licks the water drop off of its paw.
7. I am 100% confident in my results.", I am 100% confident in my results.
2,2,2,2,18, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 27.9seconds, A close up of a mouse is seen sitting in front of a camera. 28.6 - 170.8seconds, A droplet of water is shown on a spout and the mouse grabs it with his tongue. 171.5 - 286.1seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,3,3,3,66,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 19.8seconds, A close up of a mouse is seen sitting in front of a spout with a drop of water hanging off. 19.8 - 103.3seconds, The mouse then moves his paw up to grab the water and drinks it. 103.3 - 286.1seconds, The mouse continues to drink the water while the camera watches on.",
4,4,4,4,22,,,,,f,,"1. No
2. Yes
3. No
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 19.4 - 100.2seconds, The mouse then attempts to grab the water but fails several times. 101.7 - 286.2seconds, The mouse continues to try and grab the water but never succeeds.",
5,5,5,5,41, Yes, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.3 - 113.2seconds, A metal stick moves closer to the mouse and the mouse grabs it with his mouth. 113.2 - 286.1seconds, The mouse then drinks the water off of the stick. 
7. I am 100% confident in my results.", I am 100% confident in my results.
6,6,6,6,1,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 18.9 - 107.2seconds, The mouse then uses his tongue to grab the water and drink it. 107.2 - 286.2seconds, The mouse continues to do this several times while the camera watches.",
7,7,7,7,16, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 19.5 - 110.6seconds, The mouse then uses his tongue to grab the water and drink it. 112.0 - 286.6seconds, The mouse continues to do this over and over again while the camera captures his movements. 
7. I am 100% confident in my results.", I am 100% confident in my results.
8,8,8,8,51, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 103.2seconds, The mouse then grabs the drop with his mouth and pulls it into his mouth. 103.2 - 286.2seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
9,9,9,9,37, Yes, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 18.9 - 117.2seconds, The mouse then uses his tongue to grab the water and drink it. 117.2 - 286.1seconds, The mouse continues drinking the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
10,10,10,10,82,,,,,s,,"1. Yes
2. No
3. Yes
4. 70%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 18.9 - 101.4seconds, The mouse then uses his tongue to grab the water and drink it. 101.4 - 286.4seconds, The mouse continues to do this over and over again while the camera watches.",
11,11,11,11,39, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 19.0 - 279.2seconds, The mouse then uses his tongue to lick the drop of water off the pole. 280.4 - 286.2seconds, He continues to drink the water until it's gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
12,12,12,12,29, No, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. No
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 17.8 - 111.4seconds, The mouse then attempts to grab the water but fails several times. 111.4 - 286.1seconds, The mouse continues to try and grab the water but never succeeds. 
7. I am 100% confident in my results.", I am 100% confident in my results.
13,13,13,13,49, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 19.4 - 102.2seconds, The mouse then uses his tongue to flick the water off and into his mouth. 103.9 - 286.7seconds, He continues to do this several times while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
14,14,14,14,113, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in a cage with a droplet hanging from a string. 19.4 - 104.3seconds, The mouse then grabs the drop with his paws and attempts to drink it. 105.0 - 286.4seconds, The mouse continues to grab the drop and drink it while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
15,15,15,15,2, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 103.1seconds, The mouse then uses his tongue to grab the water and drink it. 103.1 - 286.2seconds, The mouse continues to do this over and over again while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
16,16,16,16,31, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A small mouse is seen sitting in front of a camera and looking off into the distance. 19.9 - 110.8seconds, A droplet of water is shown on a spout and the mouse grabs it with his tongue. 111.8 - 286.7seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
17,17,17,17,50, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 111.2seconds, The mouse then uses his tongue to grab the water and drink it. 111.2 - 286.2seconds, The mouse continues to do this over and over again while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
18,18,18,18,36, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in a cage with a droplet hanging from a string. 18.9 - 107.3seconds, The mouse then grabs the droplet with his tongue and begins to drink. 107.3 - 286.1seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
