,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,0,25, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.  
6. 0:00 - 0:50: The mouse is positioned in front of the spout, with its right paw near the spout.  
   0:50 - 1:00: The water drop forms on the spout.  
   1:00 - 1:10: The mouse's right paw moves towards the water drop.  
   1:10 - 1:20: The mouse's right paw touches the water drop.  
   1:20 - 1:30: The mouse's tongue makes contact with the water drop.  
   1:30 - 2:00: The mouse drinks the water drop.  
   2:00 - 2:30: The mouse continues to drink, with the tongue making repeated contact with the water drop.  
   2:30 - 3:00: The mouse finishes drinking the water drop.  
7. 95%", 95%
1,1,27, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.  
6. 0:00 - 0:20: The mouse is stationary, with both paws on the surface.  
   0:21 - 0:30: The mouse lifts its right paw and moves it toward the spout.  
   0:31 - 0:40: The right paw touches the water drop, and the mouse begins to lick it.  
   0:41 - 1:00: The mouse continues to lick the water drop, with the tongue making contact.  
   1:01 - 1:20: The mouse consumes the water drop, with no spillage observed.  
   1:21 - 1:30: The mouse finishes drinking, and the water drop is fully consumed.  
7. 95%", 95%
2,2,18, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.
6. 0:00 - 0:10: The mouse is positioned in front of the spout, with its right paw near the spout.
0:10 - 0:20: The water drop forms on the spout.
0:20 - 0:30: The mouse's right paw moves towards the water drop.
0:30 - 0:40: The mouse's right paw touches the water drop.
0:40 - 0:50: The mouse's tongue extends and makes contact with the water drop.
0:50 - 1:00: The mouse begins to consume the water drop.
1:00 - 1:10: The mouse continues to consume the water drop.
1:10 - 1:20: The mouse finishes consuming the water drop.
7. 95%", 95%
3,3,33, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.  
6. 0:00 - 0:15: The mouse is positioned in front of the spout, with its right paw resting on the surface.  
0:16 - 0:25: The water drop forms on the spout and remains attached.  
0:26 - 0:35: The mouse extends its right paw towards the water drop.  
0:36 - 0:45: The mouse's right paw makes contact with the water drop, and the drop adheres to the paw.  
0:46 - 1:00: The mouse brings the water drop close to its mouth and begins to lick it.  
1:01 - 1:15: The mouse continues to lick the water drop, consuming it entirely.  
1:16 - 1:30: The water drop is completely consumed, and the mouse continues to lick its paw.  
7. 95%", 95%
4,4,41, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and successfully retrieved it. The water drop was fully consumed, as evidenced by the mouse's repeated licking motions and the complete disappearance of the drop. The mouse's tongue made direct contact with the water, and no spillage occurred.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and successfully retrieved it. The water drop was fully consumed, as evidenced by the mouse's repeated licking motions and the complete disappearance of the drop. The mouse's tongue made direct contact with the water, and no spillage occurred.  
6. Timeline of key events:  
0:00 - 0:48: The mouse remains stationary with both paws on the platform.  
0:49 - 1:00: The mouse lifts its right paw and moves it toward the spout.  
1:01 - 1:05: The right paw makes contact with the water drop on the spout.  
1:06 - 1:10: The mouse brings the water drop close to its mouth.  
1:11 - 4:45: The mouse repeatedly licks the water drop, consuming it entirely.  
7. Confidence: 95%", Confidence: 95%
5,5,1, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop on the spout, and brought the drop directly to its mouth. The tongue made clear contact with the water, and the mouse consumed the entire drop without spillage. The entire water drop was ingested, indicating a successful retrieval of more than 70% of the reward.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw, made physical contact with the water drop on the spout, and brought the drop directly to its mouth. The tongue made clear contact with the water, and the mouse consumed the entire drop without spillage. The entire water drop was ingested, indicating a successful retrieval of more than 70% of the reward.  
6. 0:00 - 1:00: The mouse remains stationary with both paws on the surface, head fixed, and no water drop visible.  
1:00 - 1:10: The water drop forms and remains attached to the spout.  
1:10 - 1:20: The mouse lifts its right paw and moves it toward the spout.  
1:20 - 1:30: The right paw makes contact with the water drop, and the drop adheres to the paw.  
1:30 - 1:40: The mouse brings the paw with the water drop to its mouth.  
1:40 - 2:00: The tongue makes contact with the water drop, and the mouse begins to lick and consume the water.  
2:00 - 4:45: The mouse continues to lick the water from its paw, consuming the entire drop.  
7. 95%", 95%
6,6,16, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely. The drop was fully transferred to the mouth and no significant spillage occurred.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely. The drop was fully transferred to the mouth and no significant spillage occurred.  
6. 0:00 - 0:20: The mouse is stationary, paws resting on the platform.  
0:21 - 0:30: The mouse lifts its right paw and extends it toward the spout.  
0:31 - 0:40: The right paw makes contact with the water drop, which adheres to the paw.  
0:41 - 0:50: The mouse brings the paw to its mouth, and the tongue makes contact with the water drop.  
0:51 - 1:00: The mouse begins to lick the water drop from its paw.  
1:01 - 4:45: The mouse continues to lick the water drop, consuming it completely.  
7. 95%", 95%
7,7,51, No, Yes, No,0.0,f," Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paws did not bring the drop close to the mouth.","1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse did not make physical contact with the water drop, and no water was retrieved. The tongue did not touch the drop, and the paws did not bring the drop close to the mouth.  
6. 0:00 - 0:10: The mouse is positioned in front of the spout with its paws resting.  
0:10 - 0:20: The water drop forms and hangs from the spout.  
0:20 - 0:30: The mouse moves its paws toward the spout but does not touch the water drop.  
0:30 - 0:40: The mouse attempts to reach the drop with its paws but fails to make contact.  
0:40 - 0:50: The mouse continues to move its paws but does not retrieve the water drop.  
0:50 - 1:00: The water drop remains attached to the spout, and the mouse does not make contact.  
1:00 - 1:10: The mouse's paws move away from the spout, and no water is consumed.  
1:10 - 1:20: The mouse remains in the same position, with no further attempts to retrieve the water.  
7. 95%", 95%
8,8,39, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made physical contact with the water drop. The entire water drop was consumed, as evidenced by the absence of the drop after the interaction.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made physical contact with the water drop. The entire water drop was consumed, as evidenced by the absence of the drop after the interaction.  
6. Timeline of key events:  
0:00 - 0:25: The mouse is stationary with both paws on the surface.  
0:26 - 0:35: The mouse lifts its right paw and moves it toward the spout.  
0:36 - 0:45: The right paw makes contact with the water drop on the spout.  
0:46 - 0:50: The water drop is transferred to the mouse's mouth, and the tongue makes contact with the water.  
0:51 - 1:00: The mouse begins to lick the water drop.  
1:01 - 4:45: The mouse continues to lick and consume the water drop.  
4:46 - 4:46: The water drop is fully consumed.  
7. Confidence: 95%", Confidence: 95%
9,9,29, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made direct contact with the water drop. The mouse consumed the entire drop, as evidenced by the complete disappearance of the water drop and no residual water visible after the interaction.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, brought it close to its mouth, and the tongue made direct contact with the water drop. The mouse consumed the entire drop, as evidenced by the complete disappearance of the water drop and no residual water visible after the interaction.  
6. Timeline of key events:  
0:00 - 0:15: The mouse is positioned with its paws on the surface, facing the spout.  
0:16 - 0:25: The mouse lifts its right paw and extends it toward the spout.  
0:26 - 0:30: The water drop is visible on the spout, and the mouse's right paw makes contact with it.  
0:31 - 0:40: The mouse brings the water drop close to its mouth, and the tongue makes contact with the drop.  
0:41 - 0:50: The mouse consumes the water drop, and the drop disappears completely.  
0:51 - 1:00: The mouse continues to lick its paw and mouth, indicating consumption of the water.  
7. Confidence: 95%", Confidence: 95%
10,10,49, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water drop was transferred to the mouse's mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire water drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water drop was transferred to the mouse's mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire water drop.  
6. 0:00 - 0:10: The mouse is positioned in front of the spout, with its paws resting on the surface.  
0:10 - 0:20: The water drop forms on the spout.  
0:20 - 0:30: The mouse's right paw lifts off the surface and moves towards the spout.  
0:30 - 0:40: The mouse's right paw touches the water drop on the spout.  
0:40 - 0:50: The water drop is transferred to the mouse's mouth.  
0:50 - 1:00: The mouse's tongue makes physical contact with the water drop.  
1:00 - 1:10: The mouse consumes the entire water drop.  
7. 95%", 95%
11,11,2, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating the mouse consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating the mouse consumed the entire drop.  
6. 0:00 - 0:05: The mouse is positioned in front of the spout with its right paw near the spout.  
0:06 - 0:10: The water drop forms on the spout.  
0:11 - 0:15: The mouse's right paw moves toward the water drop.  
0:16 - 0:20: The mouse's right paw touches the water drop.  
0:21 - 0:25: The mouse's tongue extends and makes contact with the water drop.  
0:26 - 0:30: The mouse begins to drink the water drop.  
0:31 - 0:35: The mouse continues to drink, and the water drop is consumed.  
0:36 - 0:40: The mouse finishes drinking, and the water drop is no longer visible.  
7. 95%", 95%
12,12,31, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.  
6. 0:00 - 0:05: The mouse is positioned in front of the spout with its right paw near the spout.  
0:05 - 0:10: The water drop forms on the spout.  
0:10 - 0:15: The mouse's right paw moves towards the water drop.  
0:15 - 0:20: The mouse's right paw touches the water drop.  
0:20 - 0:25: The mouse's tongue makes contact with the water drop.  
0:25 - 0:30: The mouse consumes the water drop.  
0:30 - 0:35: The mouse's right paw and tongue are no longer in contact with the water drop.  
7. 95%", 95%
13,13,36, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the water, indicating full consumption.  
6. 0:54 - 1:00: Water drop forms on the spout.  
   1:00 - 1:04: Water drop detaches from the spout.  
   1:04 - 1:10: Mouse's right paw moves toward the water drop.  
   1:10 - 1:14: Mouse's right paw touches the water drop.  
   1:14 - 1:20: Mouse brings the water drop to its mouth.  
   1:20 - 1:24: Mouse's tongue makes contact with the water drop.  
   1:24 - 4:45: Mouse consumes the water drop.  
7. 95%", 95%
