filename,accuracy,balanced_accuracy,macro_f1,true_negatives,false_positives,false_negatives,true_positives,has_class_mismatch,classes_only_in_pred,classes_only_in_true,precision_f,recall_f,f1-score_f,support_f,precision_s,recall_s,f1-score_s,support_s
K_R3_2025-02-04_1.csv_BALANCED,0.523809523809524,0.523809523809524,0.3841642228739,21,0,20,1,False,[],[],0.51219512195122,1,0.67741935483871,21,1,0.0476190476190476,0.0909090909090909,21
FJ_R3_2024-07-15_1.csv_BALANCED,0.5,0.5,0.333333333333333,1,0,1,0,True,[],['s'],0.5,1,0.666666666666667,1,0,0,0,1
AZ_R2_2024-12-14_1.csv_BALANCED,0.5,0.5,0.333333333333333,8,0,8,0,True,[],['s'],0.5,1,0.666666666666667,8,0,0,0,8
K_R3_2025-02-21_1.csv_BALANCED,0.5125,0.5125,0.360524697683952,40,0,39,1,False,[],[],0.506329113924051,1,0.672268907563025,40,1,0.025,0.0487804878048781,40
FJ_L3_2024-07-15_1.csv_BALANCED,0.535714285714286,0.535714285714286,0.408130081300813,14,0,13,1,False,[],[],0.518518518518518,1,0.682926829268293,14,1,0.0714285714285714,0.133333333333333,14
FU_R2_2024-06-29_1.csv_BALANCED,0.5,0.5,0.333333333333333,13,0,13,0,True,[],['s'],0.5,1,0.666666666666667,13,0,0,0,13
K_R2_2025-02-04_1.csv_BALANCED,0.5,0.5,0.333333333333333,26,0,26,0,True,[],['s'],0.5,1,0.666666666666667,26,0,0,0,26
AZ_L3_2024-12-29_1.csv_BALANCED,0.588235294117647,0.588235294117647,0.529644268774704,16,1,13,4,False,[],[],0.551724137931034,0.941176470588235,0.695652173913043,17,0.8,0.235294117647059,0.363636363636364,17
FS_L2_2024-06-28_1.csv_BALANCED,0.5,0.5,0.333333333333333,22,0,22,0,True,[],['s'],0.5,1,0.666666666666667,22,0,0,0,22
FS_R2_2024-06-29_1.csv_BALANCED,0.538461538461538,0.538461538461538,0.413533834586466,13,0,12,1,False,[],[],0.52,1,0.68421052631579,13,1,0.0769230769230769,0.142857142857143,13
FJ_R3_2024-07-29_1.csv_BALANCED,0.5,0.5,0.333333333333333,42,0,42,0,True,[],['s'],0.5,1,0.666666666666667,42,0,0,0,42
AZ_R2_2024-11-22_1.csv_BALANCED,0.454545454545455,0.454545454545455,0.3125,10,1,11,0,False,[],[],0.476190476190476,0.909090909090909,0.625,11,0,0,0,11
FJ_R3_2024-06-29_1.csv_BALANCED,0,0,0,0,0,42,0,True,['f'],['s'],0,0,0,0,0,0,0,42
AZ_L3_2024-11-22_1.csv_BALANCED,0.5,0.5,0.333333333333333,4,0,4,0,True,[],['s'],0.5,1,0.666666666666667,4,0,0,0,4
FJ_R2_2024-07-15_1.csv_BALANCED,0.5,0.5,0.333333333333333,3,0,3,0,True,[],['s'],0.5,1,0.666666666666667,3,0,0,0,3
FU_R2_2024-07-18_1.csv_BALANCED,0.5,0.5,0.333333333333333,8,0,8,0,True,[],['s'],0.5,1,0.666666666666667,8,0,0,0,8
K_R3_2025-01-13_1.csv_BALANCED,0.5,0.5,0.333333333333333,8,0,8,0,True,[],['s'],0.5,1,0.666666666666667,8,0,0,0,8
K_R2_2025-01-14_1.csv_BALANCED,0.464285714285714,0.464285714285714,0.317073170731707,13,1,14,0,False,[],[],0.481481481481481,0.928571428571429,0.634146341463415,14,0,0,0,14
AZ_L3_2024-12-16_1.csv_BALANCED,0.6875,0.6875,0.676113360323887,7,1,4,4,False,[],[],0.636363636363636,0.875,0.736842105263158,8,0.8,0.5,0.615384615384615,8
FJ_R2_2024-06-29_1.csv_BALANCED,0.526315789473684,0.526315789473684,0.389285714285714,38,0,36,2,False,[],[],0.513513513513513,1,0.678571428571429,38,1,0.0526315789473684,0.1,38
FJ_L3_2024-06-29_1.csv_BALANCED,0.533333333333333,0.533333333333333,0.444444444444444,14,1,13,2,False,[],[],0.518518518518518,0.933333333333333,0.666666666666667,15,0.666666666666667,0.133333333333333,0.222222222222222,15
FJ_L2_2024-07-29_1.csv_BALANCED,0.538461538461538,0.538461538461538,0.413533834586466,13,0,12,1,False,[],[],0.52,1,0.68421052631579,13,1,0.0769230769230769,0.142857142857143,13
AZ_R2_2024-12-29_1.csv_BALANCED,0.5,0.5,0.333333333333333,2,0,2,0,True,[],['s'],0.5,1,0.666666666666667,2,0,0,0,2
FJ_R2_2024-07-29_1.csv_BALANCED,0.5,0.5,0.333333333333333,3,0,3,0,True,[],['s'],0.5,1,0.666666666666667,3,0,0,0,3
K_R3_2025-01-14_1.csv_BALANCED,0.625,0.625,0.563636363636364,4,0,3,1,False,[],[],0.571428571428571,1,0.727272727272727,4,1,0.25,0.4,4
FJ_L2_2024-06-29_1.csv_BALANCED,0.529411764705882,0.529411764705882,0.395555555555556,17,0,16,1,False,[],[],0.515151515151515,1,0.68,17,1,0.0588235294117647,0.111111111111111,17
FS_L2_2024-07-31_1.csv_BALANCED,0.55,0.55,0.487179487179487,9,1,8,2,False,[],[],0.529411764705882,0.9,0.666666666666667,10,0.666666666666667,0.2,0.307692307692308,10
FJ_L2_2024-07-15_1.csv_BALANCED,0.5,0.5,0.333333333333333,3,0,3,0,True,[],['s'],0.5,1,0.666666666666667,3,0,0,0,3
FJ_L3_2024-07-29_1.csv_BALANCED,0.5,0.5,0.333333333333333,27,0,27,0,True,[],['s'],0.5,1,0.666666666666667,27,0,0,0,27
