name,trial,cam,event,outcome,raw_answers,tongue_contact,water_drop_stable,water_spilled,outcome_classification,justification
FJ_R3_2024-06-29_1,0,camB,Reward,,"{
  ""tongue_contact"": true,
  ""water_drop_stable"": true,
  ""water_spilled"": false,
  ""percentage_consumed"": 100,
  ""outcome_classification"": ""Successful"",
  ""justification"": ""The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought the paw to its mouth, and licked the water off its paw without any visible spillage."",
  ""timeline"": [
    {
      ""time_range"": ""0.0s - 1.1s"",
      ""event_classification"": ""Water drop is stable"",
      ""event_description"": ""A single water drop is fully formed and remains stable on the spout. The mouse's right paw is raised in anticipation.""
    },
    {
      ""time_range"": ""1.1s - 1.6s"",
      ""event_classification"": ""Paw retrieves water"",
      ""event_description"": ""The mouse's right paw makes contact with the water drop, and the entire drop adheres to the paw.""
    },
    {
      ""time_range"": ""1.6s - 3.0s"",
      ""event_classification"": ""Paw moves to mouth"",
      ""event_description"": ""The mouse brings its paw, holding the intact water drop, directly towards its mouth.""
    },
    {
      ""time_range"": ""3.0s - 4.5s"",
      ""event_classification"": ""Tongue consumes water"",
      ""event_description"": ""The mouse's tongue extends and makes repeated contact with its paw, consuming the water drop until it is no longer visible.""
    }
  ]
}",True,True,False,Successful,"The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought the paw to its mouth, and licked the water off its paw without any visible spillage."
FJ_R3_2024-06-29_1,1,camB,Reward,,"{
    ""tongue_contact"": true,
    ""water_drop_stable"": true,
    ""water_spilled"": false,
    ""percentage_consumed"": 100,
    ""outcome_classification"": ""Successful"",
    ""justification"": ""The mouse successfully cupped the entire water drop with its right paw, brought it directly to its mouth, and licked the paw to consume the water without any visible spillage."",
    ""timeline"": [
        {
            ""time_range"": ""0.5s - 1.0s"",
            ""event_classification"": ""Paw reaches for spout"",
            ""event_description"": ""A water drop forms on the spout. The mouse lifts its right paw from the surface and moves it towards the drop.""
        },
        {
            ""time_range"": ""1.0s - 1.5s"",
            ""event_classification"": ""Paw retrieves water"",
            ""event_description"": ""The mouse's right paw makes full contact with the water drop, cupping it and detaching it from the spout before bringing it towards its mouth.""
        },
        {
            ""time_range"": ""1.5s - 4.5s"",
            ""event_classification"": ""Tongue licks paw"",
            ""event_description"": ""The mouse holds its paw to its mouth and repeatedly extends its tongue to lick and consume the water held in the paw.""
        }
    ]
}",True,True,False,Successful,"The mouse successfully cupped the entire water drop with its right paw, brought it directly to its mouth, and licked the paw to consume the water without any visible spillage."
FJ_R3_2024-06-29_1,2,camB,Reward,,"{
  ""tongue_contact"": true,
  ""water_drop_stable"": true,
  ""water_spilled"": false,
  ""percentage_consumed"": 100,
  ""outcome_classification"": ""Successful"",
  ""justification"": ""The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought it to its mouth without any visible spillage, and licked the paw to consume the water."",
  ""timeline"": [
    {
      ""time_range"": ""0.0s - 0.9s"",
      ""event_classification"": ""Water drop formation"",
      ""event_description"": ""A water drop forms and remains stable on the spout.""
    },
    {
      ""time_range"": ""0.9s - 1.2s"",
      ""event_classification"": ""Paw retrieves water"",
      ""event_description"": ""The mouse lifts its right paw, makes contact with the water drop, and collects the entire drop.""
    },
    {
      ""time_range"": ""1.2s - 4.5s"",
      ""event_classification"": ""Tongue licks paw"",
      ""event_description"": ""The mouse brings the paw holding the water to its mouth and repeatedly licks the paw to consume the water.""
    }
  ]
}",True,True,False,Successful,"The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought it to its mouth without any visible spillage, and licked the paw to consume the water."
FJ_R3_2024-06-29_1,3,camB,Reward,,"{
  ""tongue_contact"": true,
  ""water_drop_stable"": true,
  ""water_spilled"": false,
  ""percentage_consumed"": 100,
  ""outcome_classification"": ""Successful"",
  ""justification"": ""The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought it to its mouth, and consumed it by licking its paw. No spillage was observed during the retrieval or consumption."",
  ""timeline"": [
    {
      ""time_range"": ""0.0s - 0.9s"",
      ""event_classification"": ""Water drop formation"",
      ""event_description"": ""A water drop forms and remains stable on the spout.""
    },
    {
      ""time_range"": ""0.9s - 1.2s"",
      ""event_classification"": ""Paw retrieves water"",
      ""event_description"": ""The mouse's right paw lifts, makes contact with the water drop, and scoops the entire drop from the spout.""
    },
    {
      ""time_range"": ""1.2s - 4.5s"",
      ""event_classification"": ""Tongue licks paw"",
      ""event_description"": ""The mouse holds its paw to its mouth while its tongue repeatedly extends to lick and consume the water from the paw.""
    }
  ]
}",True,True,False,Successful,"The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought it to its mouth, and consumed it by licking its paw. No spillage was observed during the retrieval or consumption."
FJ_R3_2024-06-29_1,4,camB,Reward,,"{
  ""tongue_contact"": true,
  ""water_drop_stable"": true,
  ""water_spilled"": false,
  ""percentage_consumed"": 100,
  ""outcome_classification"": ""Successful"",
  ""justification"": ""The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought it to its mouth, and consumed it completely by licking its paw. No water was observed to be spilled during the process."",
  ""timeline"": [
    {
      ""time_range"": ""0.0s - 1.0s"",
      ""event_classification"": ""Water drop formation"",
      ""event_description"": ""A water drop forms and remains stable on the spout.""
    },
    {
      ""time_range"": ""1.0s - 1.5s"",
      ""event_classification"": ""Paw retrieves water"",
      ""event_description"": ""The mouse lifts its right paw, makes contact with the water drop, and the entire drop adheres to the paw.""
    },
    {
      ""time_range"": ""1.5s - 2.0s"",
      ""event_classification"": ""Paw moves to mouth"",
      ""event_description"": ""The mouse brings its right paw, holding the water drop, directly to its mouth.""
    },
    {
      ""time_range"": ""2.0s - 4.5s"",
      ""event_classification"": ""Tongue licks paw"",
      ""event_description"": ""The mouse extends its tongue and repeatedly licks its paw, consuming the water drop until it is no longer visible.""
    }
  ]
}",True,True,False,Successful,"The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought it to its mouth, and consumed it completely by licking its paw. No water was observed to be spilled during the process."
FJ_R3_2024-06-29_1,5,camB,Reward,,"{
  ""tongue_contact"": true,
  ""water_drop_stable"": true,
  ""water_spilled"": false,
  ""percentage_consumed"": 100,
  ""outcome_classification"": ""Successful"",
  ""justification"": ""The mouse's right paw successfully collected the entire water drop from the spout, brought it directly to its mouth, and its tongue made full contact, consuming the entire drop without any visible spillage."",
  ""timeline"": [
    {
      ""time_range"": ""0.0s - 0.9s"",
      ""event_classification"": ""Paw reaches for spout"",
      ""event_description"": ""A water drop forms on the spout. The mouse lifts its right paw from the resting surface and moves it towards the spout.""
    },
    {
      ""time_range"": ""1.0s - 1.2s"",
      ""event_classification"": ""Paw retrieves water"",
      ""event_description"": ""The mouse's right paw makes contact with the water drop, and the entire drop adheres to the paw.""
    },
    {
      ""time_range"": ""1.3s - 2.0s"",
      ""event_classification"": ""Tongue licks paw"",
      ""event_description"": ""The mouse brings its paw to its mouth, and its tongue extends to make direct contact with the paw, engulfing the water drop.""
    }
  ]
}",True,True,False,Successful,"The mouse's right paw successfully collected the entire water drop from the spout, brought it directly to its mouth, and its tongue made full contact, consuming the entire drop without any visible spillage."
FJ_R3_2024-06-29_1,6,camB,No_reward,nd,,,,,,
FJ_R3_2024-06-29_1,7,camB,Reward,,"{
  ""tongue_contact"": true,
  ""water_drop_stable"": true,
  ""water_spilled"": false,
  ""percentage_consumed"": 100,
  ""outcome_classification"": ""Successful"",
  ""justification"": ""The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought it to its mouth, and licked the paw to consume the water without any visible spillage."",
  ""timeline"": [
    {
      ""time_range"": ""0.0s - 1.0s"",
      ""event_classification"": ""Paw reaches for spout"",
      ""event_description"": ""A water drop forms on the spout. The mouse lifts its right paw and moves it towards the drop.""
    },
    {
      ""time_range"": ""1.0s - 1.8s"",
      ""event_classification"": ""Paw retrieves water"",
      ""event_description"": ""The right paw makes contact with the water drop, and the entire drop adheres to the paw. The mouse begins to bring the paw towards its mouth.""
    },
    {
      ""time_range"": ""1.8s - 4.5s"",
      ""event_classification"": ""Tongue consumes water"",
      ""event_description"": ""The paw is held at the mouth, and the tongue is extended to make direct contact with the paw, licking the water.""
    }
  ]
}",True,True,False,Successful,"The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought it to its mouth, and licked the paw to consume the water without any visible spillage."
FJ_R3_2024-06-29_1,8,camB,Reward,,"{
  ""tongue_contact"": true,
  ""water_drop_stable"": true,
  ""water_spilled"": false,
  ""percentage_consumed"": 100,
  ""outcome_classification"": ""Successful"",
  ""justification"": ""The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought it to its mouth, and licked the paw clean, consuming the entire drop with no visible spillage."",
  ""timeline"": [
    {
      ""time_range"": ""0.0s - 0.5s"",
      ""event_classification"": ""Paw contacts water drop"",
      ""event_description"": ""The mouse's right paw makes contact with the water drop as it forms on the spout, and the entire drop adheres to the paw.""
    },
    {
      ""time_range"": ""0.5s - 1.0s"",
      ""event_classification"": ""Paw brings water to mouth"",
      ""event_description"": ""The mouse retracts its right paw, bringing the water drop towards its mouth without spilling any.""
    },
    {
      ""time_range"": ""1.0s - 4.0s"",
      ""event_classification"": ""Tongue licks paw"",
      ""event_description"": ""The mouse extends its tongue and repeatedly licks its paw, consuming the water drop completely.""
    }
  ]
}",True,True,False,Successful,"The mouse successfully used its right paw to retrieve the entire water drop from the spout, brought it to its mouth, and licked the paw clean, consuming the entire drop with no visible spillage."
FJ_R3_2024-06-29_1,9,camB,Reward,,"{
  ""tongue_contact"": true,
  ""water_drop_stable"": true,
  ""water_spilled"": false,
  ""percentage_consumed"": 100,
  ""outcome_classification"": ""Successful"",
  ""justification"": ""The mouse successfully used its right paw to retrieve the entire water drop from the spout. It then brought the paw to its mouth and licked it, consuming the water completely with no visible spillage."",
  ""timeline"": [
    {
      ""time_range"": ""0.0s - 0.5s"",
      ""event_classification"": ""Water drop forms"",
      ""event_description"": ""A water drop forms and remains stable on the tip of the spout. The mouse's right paw is already raised.""
    },
    {
      ""time_range"": ""0.5s - 1.0s"",
      ""event_classification"": ""Paw contacts water drop"",
      ""event_description"": ""The mouse's right paw makes contact with the water drop, and the entire drop adheres to the paw.""
    },
    {
      ""time_range"": ""1.0s - 1.5s"",
      ""event_classification"": ""Paw brought to mouth"",
      ""event_description"": ""The mouse brings its right paw, now holding the water, directly to its mouth.""
    },
    {
      ""time_range"": ""1.5s - 4.5s"",
      ""event_classification"": ""Tongue licks paw"",
      ""event_description"": ""The mouse extends its tongue and repeatedly licks its paw to consume the water.""
    }
  ]
}",True,True,False,Successful,"The mouse successfully used its right paw to retrieve the entire water drop from the spout. It then brought the paw to its mouth and licked it, consuming the water completely with no visible spillage."
