Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
0,28, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 103.3seconds, A metal stick moves a drop of water towards the mouse. 104.0 - 286.2seconds, The mouse then uses his tongue to grab the water and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
1,25,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 79.8seconds, A mouse is seen sitting in front of a water spout and grabbing the water with his mouth. 79.8 - 179.2seconds, The mouse continues to drink the water while the camera watches. 179.2 - 286.4seconds, The mouse finishes drinking and looks back at the camera.",
2,32, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 8.7seconds, A water drop is placed on a metal spout. 9.4 - 19.7seconds, A mouse's tongue licks the drop off the spout. 20.4 - 286.2seconds, The mouse grabs the drop with its paws and eats it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
3,18,,,,,ucn,,"1. Yes2. No3. No4. 0%5. Successful: The mouse retrieved most of the water (more than 70%).6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 18.9 - 111.9seconds, The mouse then grabs a water droplet and drinks it. 111.9 - 286.1seconds, The mouse continues to drink the water while the camera watches.",
4,33, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 17.8 - 111.9seconds, A metal stick then pushes a drop of water to the mice's face and he licks it up. 108.1 - 286.1seconds, The mouse continues licking the water off the stick while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
5,22, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.9 - 107.2seconds, The mouse then attempts to grab the water but fails several times. 107.2 - 179.2seconds, The mouse continues to try and grab the water while the camera watches. 179.2 - 286.2seconds, In the end the mouse gives up and looks away from the spout. 
7. 100%", 100%
6,4, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.4 - 103.2seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 103.9 - 286.6seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
7,41,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 78.9seconds, A close up of a mouse is seen sitting in front of a camera and looking at a droplet of water. 78.9 - 167.2seconds, The mouse then grabs the water with his mouth and drinks it all down. 167.2 - 286.1seconds, The mouse continues to sit and stare at the spot where the water was.",
8,1, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 8.7seconds, A water drop is placed on a metal spout. 9.3 - 286.7seconds, A mouse's tongue touches the drop and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
9,51, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a spout with a drop of water hanging off. 19.7 - 109.2seconds, The mouse then attempts to grab the water but fails several times. 111.0 - 286.4seconds, The mouse continues to try and grab the water but never succeeds. 
7. I am 100% confident in my results.", I am 100% confident in my results.
